symbol,price,1h,24h,7d,24h_volume,mkt_cap,target_liquidity_volume
10SET,-0.1424605990195109,0.2336222484705985,0.1060450102188113,1.7941807668884615,-0.1036531044602642,-0.0911647862223407,-0.1039115739197676
1INCH,-0.1428534095679059,0.4199950534302893,1.477408317760953,0.609464108616916,-0.0610995496948512,-0.0825685962567296,-0.0815111526393677
AAVE,-0.1131874840407851,1.0163880293012997,1.8160165418454324,0.4608280703097848,-0.0024225960937358,-0.0497965851974074,0.0426640341168808
ACA,-0.1429407008008826,0.9418389073174236,-0.0293982794149803,-0.0244248782811434,-0.0999502083283947,-0.0950771485778184,-0.1015580175448712
ACH,-0.1431718992762642,0.3081713704544748,0.1906970662399313,-0.1162294901767244,-0.1013728649088466,-0.0944035490803095,-0.1022882254572287
ADA,-0.1430008966169152,0.2336222484705985,-0.1309807466403241,0.0192916035738947,0.2398482762989941,0.5938267789742367,0.1795753899310693
ADS,-0.1424256825263203,0.1590731264867184,0.6647485799582024,1.3351577074105565,-0.1043184183497202,-0.09659601820374,-0.1043311031156626
AERGO,-0.1431334963643684,0.0472494435109077,-0.3510760922952358,-0.7151452915907531,-0.101514700491887,-0.0967225106376093,-0.1021261120098901
AETHC,0.3361332263024945,0.4199950534302893,-0.3680065034994597,-0.19054750933029,-0.1042874254013807,-0.0957002834152542,-0.1047245737172337
AGEUR,-0.1429407008008826,-0.2509470444245975,-0.3510760922952358,-0.0550264155796704,-0.1033803738368448,-0.0957313802906971,-0.1039898160354203
AGIX,-0.1431623895171606,0.60636785838998,-0.4526585595205796,-0.2604938802983518,-0.1044473995291426,-0.096830670222098,-0.1043228941745482
AGLD,-0.1429407008008826,-0.4373198493842882,2.797980391690421,0.3253069765591652,-0.0840155647544835,-0.0965372030178757,-0.0842778050275345
AIOZ,-0.1431289452177091,1.3891336392206812,4.457160689704371,0.950452667086217,-0.0997905908747202,-0.0957709364275991,-0.1027709363504269
AKT,-0.142942883081707,0.2336222484705985,-0.4187977371121317,-0.0200532300956395,-0.1041256262187105,-0.0949582664307708,-0.1042225560266886
ALBT,-0.1431322974192835,0.5690932973980419,0.86791351440889,0.0979812709129646,-0.1045466295950052,-0.0965230790331847,-0.1046242928402133
ALCX,-0.1224185319280678,0.6809169803738527,-1.1129445964853146,-0.6495705688081952,-0.1016515839597023,-0.0958381673701342,-0.1022323802269258
ALGO,-0.1430212249992508,0.5690932973980419,-0.1648415690487738,-0.1468310274752514,-0.049821164902811,0.0281312509667593,-0.054619860974008
ALICE,-0.1418561072311475,0.830015224341609,0.5631661127328587,-0.1118578419912206,-0.0687684427441244,-0.0960098133553386,-0.0685273995685886
ALPHA,-0.143119801897511,0.3081713704544748,0.5123748791201866,-0.0113099337246318,-0.1020778711146266,-0.0955035615226103,-0.1026856281731288
ALPINE,-0.1412690736893794,-0.2509470444245975,0.4277228230990668,7.407377037075417,-0.0491144376720647,-0.0961466913869286,-0.0226023554443601
ALUSD,-0.142963140976372,-0.40004528839235,-0.4187977371121317,-0.1031145456202128,-0.1036627948312516,-0.093280317232966,-0.1047103310394747
AMP,-0.1431752881032556,0.3081713704544748,-0.2833544474783415,-0.0899996010637013,-0.1018315789579332,-0.0672411014951806,-0.1023137939871562
AMPL,-0.1429363362392338,0.3454459314464129,2.069972709908792,0.9242227779731936,-0.1011929764778735,-0.096368624435876,-0.1042694390955991
ANC,-0.1425042446359992,1.873702932115877,1.0880088600638016,-0.8900112190109074,-0.0657868521713749,-0.0775339584753777,-0.0765401003399776
ANKR,-0.143164999593027,0.4945441754141655,-0.1309807466403241,-0.3829000294924599,-0.089977068371856,-0.0833217348168539,-0.0970495624749518
ANT,-0.1421725379506879,0.6436424193819181,0.4446532343032908,0.1198395118404838,-0.0933786278210574,-0.0941348311293759,-0.0973884829646286
API3,-0.1421550797040926,0.6809169803738527,-0.5373106155416995,-0.5446510123561021,-0.0939850194412597,-0.0926993985845755,-0.0936383981985482
AR,-0.1360839744505653,-0.4745944103762264,0.850983103204666,-0.0943712492492051,-0.0864077405236524,-0.0556989277426488,-0.0905466979128504
ARDR,-0.1431386472017983,0.1590731264867184,-0.0632591018234283,-0.1512026756607553,-0.1024886396844876,-0.0937495396784769,-0.1029427010215971
ARK,-0.142998667198825,-0.1018488004568485,-0.1140503354361001,-0.2255206948143205,-0.1037654220003122,-0.0951577046634945,-0.1039675699391156
ARPA,-0.1431657996434351,0.6809169803738527,0.0383233654019155,-0.1380877311042437,-0.0993835840565653,-0.0970154645694992,-0.0998202024359185
ARRR,-0.1428665032528524,0.4945441754141655,0.0721841878103617,1.260839688256991,-0.1042432583476497,-0.0916830187056126,-0.1043322637563412
ASD,-0.1431348622539364,-0.139123361448783,-0.6050322603585953,-0.2342639911853286,-0.1039520248934746,-0.094707029592789,-0.1040385752680261
ASTR,-0.143158224006618,-0.0272996784729685,-0.2833544474783415,0.0367781963159105,-0.1018652781346632,-0.0933766570083744,-0.1015299686076472
ASTRO,-0.1427399309650363,0.9045643463254854,-0.4187977371121317,1.6280581358393154,-0.102590440051116,-0.0922082178205228,-0.1015869197451051
ATA,-0.1431004797648635,0.7927406633496709,0.2922795334652733,0.0498931408724221,-0.1009494090357276,-0.0965782709593206,-0.1033904672785488
ATOLO,-0.1431729689156047,1.3518590782287432,-0.0124678682107563,-0.1730609165882746,-0.1046420290391653,-0.0968551021061153,-0.1046406654132338
ATOM,-0.1368957829172483,0.2708968094625367,0.4615836455075147,0.0498931408724221,0.1797083198986093,0.1207495845462251,0.0781341034902232
AUCTION,-0.1403219638115825,0.2336222484705985,-0.0971199242318762,0.0149199553883912,-0.1041310042404932,-0.0962946550119646,-0.1041674379185597
AUDIO,-0.143020290983058,0.6436424193819181,0.0383233654019155,-0.0156815819101357,-0.1018949984379612,-0.0869943319473075,-0.1023785821677472
AURORA,-0.141685889326843,-0.40004528839235,-0.7404755499923872,-0.3610417885649405,-0.1042935000975496,-0.0946848600892744,-0.1042912821211872
AURY,-0.1414305624703862,-0.139123361448783,-0.3680065034994597,-0.1380877311042437,-0.1042084782744476,-0.0967689595742628,-0.1042406383879917
