coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Harmony,ONE,-0.1431529396136017,0.5690932973980419,-0.11405033543610019,-0.1555743238462592,-0.07752420220675237,-0.0593224176202887,2022-03-16
eCash,XEC,-0.1431807343872124,0.34544593144641295,-0.48651938192902755,0.5264027930923427,-0.09118881385015484,-0.05938768700714764,2022-03-16
Bitcoin SV,BSV,-0.12635318425449119,0.12179856549478403,-0.14791115784454817,-0.18617586114478618,-0.05574862608089186,-0.06034545039140126,2022-03-16
NEO,NEO,-0.13878782039201762,0.5318187364061038,0.07218418781036176,-0.17743256477377847,-0.05101633228552061,-0.061767509422259254,2022-03-16
TrueUSD,TUSD,-0.1429625236091268,-0.36277072740041194,-0.3849369147036837,-0.09874289743470901,-0.06312745139129983,-0.0618281984177456,2022-03-16
Huobi Token,HT,-0.14122106351124225,0.009974882518969604,-0.24949362506989198,-0.21240575025780936,-0.09312198595377806,-0.062157122997592594,2022-03-16
KuCoin Token,KCS,-0.1391631726938173,0.15907312648671848,-0.24949362506989198,-0.01568158191013571,-0.1016525158794977,-0.06220208553818282,2022-03-16
Celsius Network,CEL,-0.14248678638940399,-0.027299678472968582,0.13990583262725934,0.32530697655916524,-0.10333841678505554,-0.06336939241791521,2022-03-16
Stacks,STX,-0.14290578430769196,0.3081713704544748,0.0383233654019155,0.6968970723269932,-0.08867907590946422,-0.06412121049987478,2022-03-16
Humans.ai,HEART,-0.1431710906307096,0.5690932973980419,1.0541480376553536,-2.4944061030908236,-0.10409047605989545,-0.06434122710240349,2022-03-16
Enjin Coin,ENJ,-0.14287523237615013,0.3081713704544748,0.44465323430329085,0.0979812709129646,-0.05625519571573489,-0.06456421473477289,2022-03-16
Basic Attention Token,BAT,-0.14300123617981156,0.4199950534302893,0.5293052903244106,0.9941691489412556,0.012974434150679637,-0.06659126907907532,2022-03-16
NEXO,NEXO,-0.1427028321910212,0.19634768747866033,0.12297542142303536,0.32530697655916524,-0.10310071851650976,-0.06661812244907547,2022-03-16
